Mumbai,18.987807,72.836447
Delhi,28.651952,77.231495
Kolkata,22.562627,88.363044
Chennai,13.084622,80.248357
Bengalūru,12.977063,77.587106
Hyderabad,17.384052,78.456355
Ahmadābād,23.025793,72.587265
Hāora,22.576882,88.318566
Pune,18.513271,73.849852
Sūrat,21.195944,72.830232
Mardānpur,26.430066,80.267176
Rāmpura,26.884682,75.789336
Lucknow,26.839281,80.923133
Nāra,21.203096,79.089284
Patna,25.615379,85.101027
Indore,22.717736,75.85859
Vadodara,22.299405,73.208119
Bhopal,23.254688,77.402892
Coimbatore,11.005547,76.966122
Ludhiāna,30.912042,75.853789
Āgra,27.187935,78.003944
Kalyān,19.243703,73.135537
Vishākhapatnam,17.704052,83.297663
Kochi,9.947743,76.253802
Nāsik,19.999963,73.776887
Meerut,28.980018,77.706356
Farīdābād,28.411236,77.313162
Vārānasi,25.31774,83.005811
Ghāziābād,28.665353,77.439148
Āsansol,23.683333,86.983333
Jamshedpur,22.802776,86.185448
Madurai,9.917347,78.119622
Jabalpur,23.174495,79.935903
Rājkot,22.291606,70.793217
Dhanbād,23.801988,86.443244
Amritsar,31.622337,74.875335
Warangal,17.978423,79.600209
Allahābād,25.44478,81.843217
Srīnagar,34.085652,74.805553
Aurangābād,19.880943,75.346739
Bhilai,21.209188,81.428497
Solāpur,17.671523,75.910437
Ranchi,23.347768,85.338564
Jodhpur,26.26841,73.005943
Guwāhāti,26.176076,91.762932
Chandigarh,30.736292,76.788398
Gwalior,26.229825,78.173369
Thiruvananthapuram,8.485498,76.949238
Tiruchchirāppalli,10.815499,78.696513
Hubli,15.349955,75.138619
Mysore,12.292664,76.638543
Raipur,21.233333,81.633333
Salem,11.651165,78.158672
Bhubaneshwar,20.272411,85.833853
Kota,25.182544,75.839065
Jhānsi,25.458872,78.579943
Bareilly,28.347023,79.421934
Alīgarh,27.881453,78.07464
Bhiwandi,19.300229,73.058813
Jammu,32.735686,74.869112
Morādābād,28.838931,78.776838
Mangalore,12.865371,74.842432
Kolhāpur,16.695633,74.231669
Amrāvati,20.933272,77.75152
Dehra Dūn,30.324427,78.033922
Mālegaon Camp,20.569974,74.515415
Nellore,14.449918,79.986967
Gopālpur,26.735389,83.38064
Shimoga,13.932424,75.572555
Tiruppūr,11.104096,77.346402
Raurkela,22.224964,84.864143
Nānded,19.160227,77.314971
Belgaum,15.862643,74.508534
Sāngli,16.856777,74.569196
Chānda,19.950758,79.295229
Ajmer,26.452103,74.638667
Cuttack,20.522922,85.78813
Bīkaner,28.017623,73.314955
Bhāvnagar,21.774455,72.152496
Hisar,29.153938,75.722944
Bilāspur,22.080046,82.155431
Tirunelveli,8.725181,77.684519
Guntūr,16.299737,80.457293
Shiliguri,26.710035,88.428512
Ujjain,23.182387,75.776433
Davangere,14.469237,75.92375
Akola,20.709569,76.998103
Sahāranpur,29.967896,77.545221
Gulbarga,17.335827,76.83757
Bhātpāra,22.866431,88.401129
Dhūlia,20.901299,74.777373
Udaipur,24.57951,73.690508
Bellary,15.142049,76.92398
Tuticorin,8.805038,78.151884
Kurnool,15.828865,78.036021
Gaya,24.796858,85.003852
Sīkar,27.614778,75.138671
Tumkūr,13.341358,77.102203
Kollam,8.881131,76.584694
Ahmadnagar,19.094571,74.738432
Bhīlwāra,25.347071,74.640812
Nizāmābād,18.673151,78.10008
Parbhani,19.268553,76.770807
Shillong,25.573987,91.896807
Lātūr,18.399487,76.584252
Rājapālaiyam,9.451111,77.556121
Bhāgalpur,25.244462,86.971832
Muzaffarnagar,29.470914,77.703324
Muzaffarpur,26.122593,85.390553
Mathura,27.503501,77.672145
Patiāla,30.336245,76.392199
Saugor,23.838766,78.738738
Brahmapur,19.311514,84.792903
Shāhbāzpur,27.874116,79.879327
New Delhi,28.6,77.2
Rohtak,28.894473,76.589166
Samlaipādar,21.478072,83.990505
Ratlām,23.330331,75.040315
Fīrozābād,27.150917,78.397808
Rājahmundry,17.005171,81.777839
Barddhamān,23.255716,87.856906
Bīdar,17.913309,77.530105
Bamanpurī,28.804495,79.040305
Kākināda,16.960361,82.238086
Pānīpat,29.387471,76.968246
Khammam,17.247672,80.143682
Bhuj,23.253972,69.669281
Karīmnagar,18.436738,79.13222
Tirupati,13.635505,79.419888
Hospet,15.269537,76.387103
Chikka Mandya,12.545602,76.895078
Alwar,27.566291,76.610202
Aizawl,23.736701,92.714596
Bijāpur,16.827715,75.718988
Imphal,24.808053,93.944203
Tharati Etawah,26.758236,79.014875
Rāichūr,16.205459,77.35567
Pathānkot,32.274842,75.652865
Chīrāla,15.823849,80.352187
Sonīpat,28.994778,77.019375
Mirzāpur,25.144902,82.565335
Hāpur,28.729845,77.780681
Porbandar,21.641346,69.600868
Bharatpur,27.215251,77.492786
Puducherry,11.933812,79.829792
Karnāl,29.691971,76.984483
Nāgercoil,8.177313,77.43437
Thanjāvūr,10.785233,79.139093
Pāli,25.775125,73.320611
Agartala,23.836049,91.279386
Ongole,15.503565,80.044541
Puri,19.798254,85.824938
Dindigul,10.362853,77.975827
Haldia,22.025278,88.058333
Bulandshahr,28.403922,77.857731
Purnea,25.776703,87.473655
Proddatūr,14.7502,78.548129
Gurgaon,28.460105,77.026352
Khānāpur,21.273716,76.117376
Machilīpatnam,16.187466,81.13888
Bhiwāni,28.793044,76.13968
Nandyāl,15.477994,78.483605
Bhusāval,21.043649,75.785058
Bharauri,27.598203,81.694709
Tonk,26.168672,75.786111
Sirsa,29.534893,75.028981
Vizianagaram,18.11329,83.397743
Vellore,12.905769,79.137104
Alappuzha,9.494647,76.331108
Shimla,31.104423,77.166623
Hindupur,13.828065,77.491425
Bāramūla,34.209004,74.342853
Bakshpur,25.894283,80.792104
Dibrugarh,27.479888,94.90837
Saidāpur,27.598784,80.75089
Navsāri,20.85,72.916667
Budaun,28.038114,79.126677
Cuddalore,11.746289,79.764362
Harīpur,31.463218,75.986418
Krishnāpuram,12.869617,79.719469
Fyzābād,26.775486,82.150182
Silchar,24.827327,92.797868
Ambāla,30.360993,76.797819
Krishnanagar,23.405761,88.490733
Kolār,13.137679,78.129989
Kumbakonam,10.959789,79.377472
Tiruvannāmalai,12.230204,79.072954
Pīlibhīt,28.631245,79.804362
Abohar,30.144533,74.19552
Port Blair,11.666667,92.75
Alīpur Duār,26.4835,89.522855
Hatīsa,27.592698,78.013843
Vālpārai,10.325163,76.955299
