temp,max_temp,wind_speed,cloudcover,precip,humidity,class
29.9,37.0,23.0,58.6,146.0,83.86,1
93.03999999999999,82.41,63.44,102.42,192.07,129.3,1
87.13,98.82,72.28999999999999,122.12,191.8,142.25,1
92.12,72.39,73.84,96.5,196.53,150.42000000000002,1
92.64,76.03,67.13,92.61,191.76,126.61,1
73.27,95.88,79.4,103.24000000000001,182.9,126.45,1
80.92,84.22999999999999,63.86,123.63,209.87,118.69,1
87.5,83.77000000000001,72.5,120.16,203.12,122.66,1
91.64,78.8,85.94,94.78999999999999,190.01,128.72,1
89.59,96.45,68.27000000000001,113.78,193.94,148.81,1
77.36,80.68,86.71000000000001,99.62,195.78,128.1,1
79.22999999999999,101.58,59.1,112.35,199.39,139.43,1
91.35,86.02000000000001,60.82,93.1,182.77,148.97,1
72.71000000000001,88.59,66.43,117.91,208.76,138.92000000000002,1
85.74000000000001,97.28999999999999,76.41,121.78,204.34,128.8,1
69.03,92.4,58.74,98.03,191.51,122.93,1
77.86,87.74000000000001,87.36,109.71000000000001,205.61,118.62,1
90.25999999999999,91.22,67.15,112.66,189.18,123.43,1
91.24000000000001,77.99000000000001,72.61,99.17,180.69,143.37,1
74.71000000000001,95.3,70.47999999999999,109.17,184.71,130.82999999999998,1
27.7,31.1,18.4,57.4,77.0,83.75,1
86.96,86.86,73.72999999999999,121.50999999999999,143.6,132.23,1
73.56,85.49000000000001,80.32,92.75,118.53,147.85,1
63.730000000000004,79.64,61.3,114.66,110.84,136.79,1
74.58,87.07,74.83,94.27,131.98,125.12,1
70.7,94.4,63.87,120.64,116.22999999999999,125.68,1
63.44,66.7,83.72999999999999,115.53,132.82,132.67000000000002,1
61.540000000000006,85.94,56.12,98.19,129.79,121.34,1
78.2,65.53999999999999,66.82,121.27,116.5,142.89,1
71.49,81.87,55.61,103.25,126.07,118.22999999999999,1
87.42999999999999,67.55000000000001,52.1,96.85,121.44,130.0,1
61.81,85.46000000000001,57.5,106.97999999999999,121.13,134.32999999999998,1
91.58,92.52000000000001,56.769999999999996,111.93,114.67,134.11,1
63.540000000000006,73.1,62.53,104.94,125.2,125.44,1
82.01,64.53999999999999,52.87,116.1,117.1,118.28,1
70.61,76.53999999999999,64.02,91.69999999999999,135.57999999999998,119.32,1
61.06999999999999,95.69,73.91,114.43,134.23,129.98,1
69.09,67.91,64.44,104.55,122.07,137.38,1
67.38,91.6,75.69,116.07,132.59,125.67,1
72.06,87.47,61.449999999999996,120.33,123.92,139.36,1
26.6,31.1,17.2,72.0,330.25,86.19,1
88.28,85.77000000000001,55.989999999999995,124.49000000000001,383.5,119.66,1
81.9,66.49000000000001,77.66,131.94,388.2,139.72,1
71.94,88.64,70.23,131.48,366.40999999999997,131.5,1
60.38,86.87,73.08,126.49000000000001,370.9,146.97,1
81.87,89.00999999999999,77.59,137.25,367.87,145.97,1
74.69,74.69,78.13,109.02000000000001,366.87,133.84,1
63.09,72.17,65.35,125.49000000000001,369.94,152.84,1
89.07,64.75,52.730000000000004,113.64,367.40999999999997,120.71000000000001,1
64.12,95.69999999999999,73.57,107.69,393.13,147.99,1
71.4,82.87,58.47,118.92,370.21,137.03,1
67.87,69.13,81.55,119.0,382.23,141.38,1
68.85,72.94,82.35000000000001,137.23000000000002,379.02,150.54,1
61.38,68.36,56.17,117.63,377.85,135.07,1
72.41,80.57,67.7,115.44,393.45,128.66,1
64.55000000000001,67.46000000000001,76.24,132.8,387.48,139.13,1
71.75999999999999,68.45,71.09,115.37,372.44,145.35,1
78.74000000000001,70.98,57.019999999999996,135.51,373.85,140.81,1
74.43,79.78999999999999,70.39,121.22,365.75,137.47,1
78.98,94.63,80.86,111.45,364.04,131.71,1
27.2,34.1,11.4,77.3,174.9,86.71,1
78.12,84.50999999999999,77.61,133.24,241.07,123.61999999999999,1
66.25,77.9,57.67,116.35,216.16,122.63,1
92.63000000000001,93.52000000000001,46.65,136.29,230.51,124.71,1
82.86,95.72,62.89,142.51,220.03,126.34,1
87.72,86.92,53.53,114.00999999999999,216.81,139.05,1
67.82,88.48,73.46000000000001,135.55,209.44,143.44,1
85.3,99.97,75.09,136.78,233.8,148.14999999999998,1
62.17999999999999,77.21000000000001,62.94,128.26999999999998,209.41,143.99,1
79.7,93.28,74.68,127.86,231.22,135.67,1
60.91,71.61,64.84,124.07,213.59,136.34,1
68.61,76.28,45.87,112.61,219.54000000000002,152.43,1
64.21,90.55000000000001,55.92,129.49,224.60000000000002,144.68,1
69.24,97.16,61.74,136.95,214.09,128.62,1
93.01,71.24000000000001,59.07,116.59,229.13,134.5,1
67.75,95.1,77.96000000000001,119.82,209.89000000000001,143.29,1
75.48,67.80000000000001,68.03,114.84,227.33,147.16,1
63.78,79.81,48.18,133.84,233.58,149.95,1
80.53,81.94,58.48,111.41,239.31,130.20999999999998,1
83.98,95.31,62.82,143.79,213.2,138.16,1
27.8,36.0,20.8,86.5,788.3,89.82,1
62.730000000000004,71.15,65.98,145.78,828.0699999999999,132.35,1
62.75,90.43,77.49,147.43,841.25,144.35999999999999,1
87.17,81.58,75.28,146.46,834.14,139.66,1
81.61,70.34,83.18,151.65,836.17,128.73,1
84.45,100.0,58.78,130.86,847.9799999999999,141.10999999999999,1
62.5,97.21000000000001,83.35,128.1,839.8199999999999,132.59,1
66.07000000000001,102.4,75.19,152.70999999999998,848.5799999999999,144.24,1
82.96,83.41,56.64,147.62,831.53,147.04999999999998,1
77.27,97.69,85.21,135.05,837.28,126.91999999999999,1
93.07,91.55,71.73,134.98,823.9499999999999,152.69,1
64.28,100.07,62.97,122.16,824.9599999999999,149.1,1
61.980000000000004,74.85,60.400000000000006,138.36,853.91,134.39,1
81.07000000000001,80.92,85.74,132.14,841.43,148.47,1
90.89,88.22999999999999,78.84,125.31,844.3599999999999,152.6,1
62.769999999999996,70.75,86.17,135.55,851.12,155.51,1
70.97,79.99000000000001,59.14,126.19,839.9599999999999,147.85999999999999,1
71.18,94.46000000000001,57.57000000000001,148.91,834.5799999999999,126.49,1
69.72,90.15,60.45,135.21,852.12,128.14,1
82.01,79.00999999999999,79.79,122.72999999999999,830.0699999999999,151.54,1
25.7,32.1,26.7,81.6,478.44,91.43,1
80.78,67.84,85.11,119.81,524.15,158.0,1
76.31,72.34,62.739999999999995,127.59,536.31,154.86,1
83.63,69.21000000000001,77.01,130.03,528.48,143.3,1
62.489999999999995,93.86,81.78,140.44,544.18,151.07,1
59.150000000000006,77.1,64.45,128.03,515.5,131.93,1
63.129999999999995,75.32,76.34,140.76999999999998,529.7,151.66,1
84.13,97.82,70.92999999999999,147.42,541.95,142.28,1
80.47,83.98,88.3,128.7,529.37,134.63,1
69.09,87.80000000000001,80.89,122.60999999999999,532.3,154.12,1
64.78,75.45,61.39,116.46,519.7,138.03,1
61.629999999999995,79.06,61.519999999999996,118.75,539.16,136.32,1
64.36,74.28999999999999,76.27,135.94,520.96,142.75,1
60.510000000000005,85.2,64.65,134.81,542.23,136.61,1
74.39,67.39,83.12,130.97,520.82,129.05,1
90.9,67.25999999999999,81.8,132.04,528.02,131.98000000000002,1
71.06,72.31,84.67999999999999,138.04,515.44,127.99000000000001,1
64.16,82.78,64.15,119.21,532.93,144.13,1
90.4,72.53999999999999,84.17,121.10999999999999,530.95,157.36,1
83.64,82.5,71.76,122.89999999999999,535.87,156.99,1
27.9,34.4,18.3,83.7,183.6,90.61,1
61.92,85.72,64.84,148.03,236.82,147.47,1
71.31,77.09,58.91,139.21,217.41,124.41,1
61.78,92.58,75.42,136.46,237.01,125.94,1
70.03999999999999,81.1,80.16,135.26,233.29,126.21000000000001,1
68.1,87.28,81.0,137.09,222.45,140.6,1
92.87,97.1,68.8,125.49000000000001,238.57999999999998,155.37,1
86.97,99.37,75.28,149.07,246.75,151.76999999999998,1
82.47999999999999,89.64,69.53,129.56,246.67,136.26,1
73.92,95.57,68.37,144.27,225.42,133.13,1
87.28,90.47,57.44,130.81,240.75,136.1,1
68.86,71.96000000000001,77.24,118.19,218.99,134.95,1
90.56,95.47,58.75,141.02,220.63,126.14,1
90.18,73.72999999999999,76.23,127.67,228.75,147.69,1
80.87,90.68,52.8,127.31,249.32,130.62,1
86.81,77.12,60.44,143.14,235.64,135.26,1
89.12,80.25,59.82000000000001,128.25,223.24,140.35,1
85.03999999999999,91.22,53.239999999999995,140.63,234.25,141.87,1
77.59,80.96000000000001,80.46,138.87,242.79,136.25,1
70.47999999999999,70.37,60.0,122.33000000000001,226.45999999999998,127.42,1
28.5,34.1,9.2,85.3,204.8,88.09,1
64.44,98.19999999999999,60.959999999999994,138.63,246.3,139.16,1
95.13,98.25,44.22,120.43,253.51000000000002,153.78,1
91.97999999999999,82.17,46.92999999999999,140.14,261.78000000000003,139.5,1
93.13,73.64,45.61,134.41,266.37,143.23000000000002,1
81.3,71.91,53.16,120.22,256.3,142.26,1
91.55,96.72,53.959999999999994,132.61,253.57000000000002,137.29000000000002,1
93.5,67.84,46.150000000000006,148.74,263.90000000000003,129.64,1
77.16,91.49000000000001,69.07,128.41,249.8,133.84,1
85.74000000000001,73.61,60.56999999999999,131.29,253.56,133.71,1
69.9,82.53999999999999,68.0,142.99,260.59000000000003,135.95,1
93.65,86.19,71.62,141.94,264.99,123.42,1
78.56,94.61,48.86,136.44,259.09000000000003,122.03,1
62.2,94.83,74.06,135.48,252.91000000000003,142.6,1
87.89,73.98,68.94,140.35,271.34000000000003,143.85,1
86.47999999999999,94.02000000000001,58.42,126.83,242.76000000000002,134.18,1
85.34,82.57,67.21,128.66,264.19,149.61,1
92.82,86.62,61.129999999999995,143.84,258.26,141.01,1
79.32,95.36,47.42999999999999,130.63,251.65,148.03,1
62.06,68.12,59.33,136.75,241.88,147.99,1
24.4,31.9,17.2,62.1,88.42,81.8,1
69.44999999999999,80.99000000000001,67.35,128.63,151.07,138.15,1
69.38,76.85,82.68,126.5,130.64,137.82,1
74.05,88.4,69.95,112.28,130.44,130.68,1
81.9,85.27,72.61,113.47,142.14,117.44999999999999,1
70.64,65.64,77.56,127.69,138.68,138.23,1
87.6,80.91,79.92,98.18,124.42,126.89,1
64.19999999999999,97.59,57.42,110.53999999999999,152.56,132.04,1
72.66,87.96000000000001,57.739999999999995,115.0,126.33,127.0,1
63.79,83.16,70.66,103.24000000000001,123.92,120.97999999999999,1
63.16,91.27,73.78,111.62,149.15,144.22,1
82.39,85.3,75.13,95.46000000000001,149.23000000000002,125.62,1
63.24,85.17,52.72,108.24000000000001,152.07,139.88,1
87.18,66.22,56.19,99.48,143.23000000000002,129.51,1
79.05,80.22999999999999,54.34,108.7,141.46,147.72,1
62.199999999999996,78.32,54.370000000000005,127.78,145.18,122.25999999999999,1
65.8,67.53999999999999,64.45,107.72,125.62,127.16,1
80.81,75.19,79.62,101.16,129.55,129.7,1
67.85,70.62,55.519999999999996,125.52000000000001,154.86,127.56,1
90.53999999999999,84.99000000000001,58.06,110.96000000000001,126.99000000000001,127.72,1
30.0,39.0,69.1,42.8,486.0,84.44,1
87.24000000000001,84.77000000000001,130.3,104.59,529.1,123.16,1
